fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
18065,Henry County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18067,Howard County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18067,Howard County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18069,Huntington County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18069,Huntington County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18071,Jackson County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18071,Jackson County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18073,Jasper County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18073,Jasper County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18075,Jay County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18075,Jay County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18077,Jefferson County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18077,Jefferson County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18079,Jennings County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18079,Jennings County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18081,Johnson County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18081,Johnson County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18083,Knox County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18083,Knox County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18085,Kosciusko County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18085,Kosciusko County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18087,LaGrange County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18087,LaGrange County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18089,Lake County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18089,Lake County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18091,LaPorte County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18091,LaPorte County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18093,Lawrence County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18093,Lawrence County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18095,Madison County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18095,Madison County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18097,Marion County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18097,Marion County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18099,Marshall County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18099,Marshall County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18101,Martin County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18101,Martin County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18103,Miami County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18103,Miami County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18105,Monroe County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18105,Monroe County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18107,Montgomery County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18107,Montgomery County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18109,Morgan County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18109,Morgan County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18111,Newton County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18111,Newton County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18113,Noble County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18113,Noble County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18115,Ohio County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18115,Ohio County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18117,Orange County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18117,Orange County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18119,Owen County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18119,Owen County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18121,Parke County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18121,Parke County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18123,Perry County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18123,Perry County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18125,Pike County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18125,Pike County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18127,Porter County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18127,Porter County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18129,Posey County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18129,Posey County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18131,Pulaski County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18131,Pulaski County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18133,Putnam County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18133,Putnam County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18135,Randolph County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18135,Randolph County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18137,Ripley County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18137,Ripley County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18139,Rush County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18139,Rush County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18143,Scott County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18143,Scott County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18145,Shelby County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18145,Shelby County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18147,Spencer County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18147,Spencer County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18141,St. Joseph County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18141,St. Joseph County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18149,Starke County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18149,Starke County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18151,Steuben County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18151,Steuben County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18153,Sullivan County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18153,Sullivan County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18155,Switzerland County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18155,Switzerland County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18157,Tippecanoe County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18157,Tippecanoe County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18159,Tipton County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18159,Tipton County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18161,Union County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18161,Union County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18163,Vanderburgh County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18163,Vanderburgh County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18165,Vermillion County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18165,Vermillion County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18167,Vigo County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18167,Vigo County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18169,Wabash County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18169,Wabash County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18171,Warren County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18171,Warren County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18173,Warrick County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18173,Warrick County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18175,Washington County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18175,Washington County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18177,Wayne County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18177,Wayne County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18179,Wells County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18179,Wells County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18181,White County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18181,White County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18183,Whitley County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18183,Whitley County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
29001,Adair County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,84.0,668.0
29001,Adair County,democrat,False,E. Morrison,Democrat,2,100.0,Missouri,8.3,66.0
29001,Adair County,democrat,False,C. Wheeler,Democrat,3,100.0,Missouri,6.2,49.0
29001,Adair County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,1.5,12.0
29001,Adair County,republican,False,E. Greitens,Republican,1,100.0,Missouri,44.3,866.0
29001,Adair County,republican,False,J. Brunner,Republican,2,100.0,Missouri,23.5,460.0
29001,Adair County,republican,False,C. Hanaway,Republican,3,100.0,Missouri,19.3,377.0
29001,Adair County,republican,False,P. Kinder,Republican,4,100.0,Missouri,12.8,251.0
29001,Adair County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29003,Andrew County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,73.3,389.0
29003,Andrew County,democrat,False,C. Wheeler,Democrat,2,100.0,Missouri,11.3,60.0
29003,Andrew County,democrat,False,E. Morrison,Democrat,3,100.0,Missouri,10.2,54.0
29003,Andrew County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,5.3,28.0
29003,Andrew County,republican,False,E. Greitens,Republican,1,100.0,Missouri,40.8,1011.0
29003,Andrew County,republican,False,J. Brunner,Republican,2,100.0,Missouri,23.5,582.0
29003,Andrew County,republican,False,C. Hanaway,Republican,3,100.0,Missouri,20.2,501.0
29003,Andrew County,republican,False,P. Kinder,Republican,4,100.0,Missouri,15.4,382.0
29003,Andrew County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29005,Atchison County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,65.4,83.0
29005,Atchison County,democrat,False,E. Morrison,Democrat,2,100.0,Missouri,15.0,19.0
29005,Atchison County,democrat,False,C. Wheeler,Democrat,3,100.0,Missouri,13.4,17.0
29005,Atchison County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,6.3,8.0
29005,Atchison County,republican,False,E. Greitens,Republican,1,100.0,Missouri,44.3,358.0
29005,Atchison County,republican,False,J. Brunner,Republican,2,100.0,Missouri,22.5,182.0
29005,Atchison County,republican,False,P. Kinder,Republican,3,100.0,Missouri,18.9,153.0
29005,Atchison County,republican,False,C. Hanaway,Republican,4,100.0,Missouri,14.3,116.0
29005,Atchison County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29007,Audrain County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,77.7,729.0
29007,Audrain County,democrat,False,C. Wheeler,Democrat,2,100.0,Missouri,9.2,86.0
29007,Audrain County,democrat,False,E. Morrison,Democrat,3,100.0,Missouri,8.1,76.0
29007,Audrain County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,5.0,47.0
29007,Audrain County,republican,False,E. Greitens,Republican,1,100.0,Missouri,36.3,1143.0
29007,Audrain County,republican,False,C. Hanaway,Republican,2,100.0,Missouri,25.0,787.0
29007,Audrain County,republican,False,P. Kinder,Republican,3,100.0,Missouri,20.3,640.0
29007,Audrain County,republican,False,J. Brunner,Republican,4,100.0,Missouri,18.4,579.0
29007,Audrain County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29009,Barry County,democrat,False,C. Koster,Democrat,1,100.0,Missouri,77.1,434.0
29009,Barry County,democrat,False,E. Morrison,Democrat,2,100.0,Missouri,10.5,59.0
29009,Barry County,democrat,False,C. Wheeler,Democrat,3,100.0,Missouri,7.8,44.0
29009,Barry County,democrat,False,L. Steinman,Democrat,4,100.0,Missouri,4.6,26.0
29009,Barry County,republican,False,E. Greitens,Republican,1,100.0,Missouri,30.9,1997.0
29009,Barry County,republican,False,J. Brunner,Republican,2,100.0,Missouri,34.2,2215.0
29009,Barry County,republican,False,C. Hanaway,Republican,3,100.0,Missouri,18.6,1207.0
