fips,geo_name,individual_party,is_incumbent,is_winner,name,rank,reporting_pct,state,vote_pct,votes
4,4th District Election,republican,False,False,E. Guillory,5,100.0,Louisiana,7.3,21011.0
4,4th District Election,republican,False,False,R. John,6,100.0,Louisiana,4.6,13215.0
4,4th District Election,independent_or_other,False,False,M. Halverson,7,100.0,Louisiana,1.1,3145.0
4,4th District Election,independent_or_other,False,False,K. Krefft,8,100.0,Louisiana,0.9,2492.0
5,5th District Election,republican,True,True,R. Abraham,1,100.0,Louisiana,81.6,208504.0
5,5th District Election,republican,False,False,B. Burkette,2,100.0,Louisiana,18.4,47106.0
6,6th District Election,republican,True,True,G. Graves,1,100.0,Louisiana,62.7,207453.0
6,6th District Election,democrat,False,False,R. Lieberman,2,100.0,Louisiana,14.9,49352.0
6,6th District Election,republican,False,False,B. Bell,3,100.0,Louisiana,10.1,33585.0
6,6th District Election,democrat,False,False,J. Sampson,4,100.0,Louisiana,9.0,29809.0
6,6th District Election,independent_or_other,False,False,R. Fontanesi,5,100.0,Louisiana,2.3,7598.0
6,6th District Election,independent_or_other,False,False,D. Graham,6,100.0,Louisiana,1.0,3215.0
1,1st District Election,democrat,True,True,C. Pingree,1,100.0,Maine,57.9,225428.0
1,1st District Election,republican,False,False,M. Holbrook,2,100.0,Maine,42.1,164048.0
2,2nd District Election,republican,True,True,B. Poliquin,1,100.0,Maine,54.9,192285.0
2,2nd District Election,democrat,False,False,E. Cain,2,100.0,Maine,45.1,157862.0
1,1st District Election,republican,True,True,A. Harris,1,100.0,Maryland,67.8,229135.0
1,1st District Election,democrat,False,False,J. Werner,2,100.0,Maryland,28.0,94776.0
1,1st District Election,independent_or_other,False,False,M. Beers,3,100.0,Maryland,4.2,14207.0
2,2nd District Election,democrat,True,True,D. Ruppersberger,1,94.2,Maryland,62.2,172324.0
2,2nd District Election,republican,False,False,P. McDonough,2,94.2,Maryland,33.3,92099.0
2,2nd District Election,independent_or_other,False,False,K. Kasprzak,3,94.2,Maryland,4.5,12530.0
3,3rd District Election,democrat,True,True,J. Sarbanes,1,86.0,Maryland,62.8,194362.0
3,3rd District Election,republican,False,False,M. Plaster,2,86.0,Maryland,34.5,106627.0
3,3rd District Election,independent_or_other,False,False,N. Eze,3,86.0,Maryland,2.7,8430.0
4,4th District Election,democrat,False,True,A. Brown,1,100.0,Maryland,74.1,218215.0
4,4th District Election,republican,False,False,G. McDermott,2,100.0,Maryland,21.6,63674.0
4,4th District Election,independent_or_other,False,False,K. Clark,3,100.0,Maryland,2.5,7357.0
4,4th District Election,independent_or_other,False,False,B. Krause,4,100.0,Maryland,1.8,5274.0
5,5th District Election,democrat,True,True,S. Hoyer,1,100.0,Maryland,67.3,223582.0
5,5th District Election,republican,False,False,M. Arness,2,100.0,Maryland,29.7,98768.0
5,5th District Election,independent_or_other,False,False,J. Summers,3,100.0,Maryland,3.0,10033.0
6,6th District Election,democrat,True,True,J. Delaney,1,100.0,Maryland,55.4,167229.0
6,6th District Election,republican,False,False,A. Hoeber,2,100.0,Maryland,40.9,123611.0
6,6th District Election,independent_or_other,False,False,D. Howser,3,100.0,Maryland,2.1,6216.0
6,6th District Election,independent_or_other,False,False,G. Gluck,4,100.0,Maryland,1.7,4997.0
7,7th District Election,democrat,True,True,E. Cummings,1,100.0,Maryland,75.1,211962.0
7,7th District Election,republican,False,False,C. Vaughn,2,100.0,Maryland,21.9,61854.0
7,7th District Election,independent_or_other,False,False,M. Hoenig,3,100.0,Maryland,3.0,8428.0
8,8th District Election,democrat,False,True,J. Raskin,1,100.0,Maryland,59.3,191671.0
8,8th District Election,republican,False,False,D. Cox,2,100.0,Maryland,35.6,115200.0
8,8th District Election,independent_or_other,False,False,N. Wallace,3,100.0,Maryland,3.0,9761.0
8,8th District Election,independent_or_other,False,False,J. Wunder,4,100.0,Maryland,2.0,6540.0
1,1st District Election,democrat,True,True,R. Neal,1,100.0,Massachusetts,73.4,233310.0
1,1st District Election,independent_or_other,False,False,F. Mayock,2,100.0,Massachusetts,18.0,57226.0
